trade_time_paris,x_t_signed_volume,total_qty,known_qty,imbalance,known_ratio
2019-10-01 11:12:00+02:00,390.0,814.0,814.0,0.47911547911547914,1.0
2019-10-01 11:13:00+02:00,360.0,506.0,506.0,0.7114624505928854,1.0
2019-10-01 11:14:00+02:00,-562.0,1964.0,1964.0,-0.2861507128309572,1.0
2019-10-01 11:15:00+02:00,1556.0,2884.0,2884.0,0.5395284327323162,1.0
2019-10-01 11:16:00+02:00,656.0,2514.0,2514.0,0.2609387430389817,1.0
2019-10-01 11:17:00+02:00,-352.0,2476.0,2476.0,-0.1421647819063005,1.0
2019-10-01 11:18:00+02:00,740.0,3628.0,3628.0,0.2039691289966924,1.0
2019-10-01 11:19:00+02:00,420.0,1356.0,1356.0,0.30973451327433627,1.0
2019-10-01 11:20:00+02:00,-311.0,311.0,311.0,-1.0,1.0
2019-10-01 11:21:00+02:00,-1829.0,1829.0,1829.0,-1.0,1.0
2019-10-01 11:22:00+02:00,227.0,227.0,227.0,1.0,1.0
2019-10-01 11:23:00+02:00,180.0,984.0,984.0,0.18292682926829268,1.0
2019-10-01 11:24:00+02:00,-786.0,1452.0,1452.0,-0.5413223140495868,1.0
2019-10-01 11:25:00+02:00,-406.0,4994.0,4994.0,-0.08129755706848218,1.0
2019-10-01 11:26:00+02:00,-4611.0,7463.0,7463.0,-0.617848050381884,1.0
2019-10-01 11:27:00+02:00,-624.0,1008.0,1008.0,-0.6190476190476191,1.0
2019-10-01 11:28:00+02:00,884.0,1554.0,1554.0,0.5688545688545689,1.0
2019-10-01 11:29:00+02:00,177.0,1181.0,1181.0,0.14987298899237933,1.0
2019-10-01 11:30:00+02:00,-394.0,906.0,906.0,-0.434878587196468,1.0
2019-10-01 11:31:00+02:00,-421.0,1643.0,1643.0,-0.256238587948874,1.0
2019-10-01 11:32:00+02:00,-831.0,1647.0,1647.0,-0.5045537340619308,1.0
2019-10-01 11:33:00+02:00,384.0,384.0,384.0,1.0,1.0
2019-10-01 11:34:00+02:00,21.0,231.0,231.0,0.09090909090909091,1.0
2019-10-01 11:35:00+02:00,417.0,417.0,417.0,1.0,1.0
2019-10-01 11:36:00+02:00,39.0,289.0,289.0,0.13494809688581316,1.0
2019-10-01 11:37:00+02:00,-333.0,333.0,333.0,-1.0,1.0
2019-10-01 11:38:00+02:00,-539.0,887.0,887.0,-0.6076662908680946,1.0
2019-10-01 11:39:00+02:00,-104.0,496.0,496.0,-0.20967741935483872,1.0
2019-10-01 11:40:00+02:00,-80.0,80.0,80.0,-1.0,1.0
2019-10-01 11:41:00+02:00,412.0,904.0,904.0,0.4557522123893805,1.0
2019-10-01 11:42:00+02:00,-309.0,933.0,933.0,-0.3311897106109325,1.0
2019-10-01 11:43:00+02:00,177.0,1307.0,1307.0,0.135424636572303,1.0
2019-10-01 11:44:00+02:00,519.0,519.0,519.0,1.0,1.0
2019-10-01 11:45:00+02:00,-2255.0,2901.0,2901.0,-0.7773181661496036,1.0
2019-10-01 11:46:00+02:00,8.0,2226.0,2226.0,0.0035938903863432167,1.0
2019-10-01 11:47:00+02:00,0.0,0.0,0.0,,
2019-10-01 11:48:00+02:00,0.0,0.0,0.0,,
2019-10-01 11:49:00+02:00,549.0,915.0,915.0,0.6,1.0
2019-10-01 11:50:00+02:00,-24.0,546.0,546.0,-0.04395604395604396,1.0
2019-10-01 11:51:00+02:00,563.0,563.0,563.0,1.0,1.0
2019-10-01 11:52:00+02:00,-73.0,653.0,653.0,-0.11179173047473201,1.0
2019-10-01 11:53:00+02:00,-113.0,113.0,113.0,-1.0,1.0
2019-10-01 11:54:00+02:00,333.0,933.0,933.0,0.35691318327974275,1.0
2019-10-01 11:55:00+02:00,272.0,672.0,672.0,0.40476190476190477,1.0
2019-10-01 11:56:00+02:00,413.0,567.0,567.0,0.7283950617283951,1.0
2019-10-01 11:57:00+02:00,186.0,678.0,678.0,0.2743362831858407,1.0
2019-10-01 11:58:00+02:00,-80.0,80.0,80.0,-1.0,1.0
2019-10-01 11:59:00+02:00,-45.0,1419.0,1419.0,-0.03171247357293869,1.0
2019-10-01 12:00:00+02:00,141.0,1073.0,1073.0,0.13140726933830382,1.0
2019-10-01 12:01:00+02:00,283.0,825.0,825.0,0.343030303030303,1.0
2019-10-01 12:02:00+02:00,489.0,1759.0,1759.0,0.27799886299033544,1.0
2019-10-01 12:03:00+02:00,532.0,836.0,836.0,0.6363636363636364,1.0
2019-10-01 12:04:00+02:00,295.0,295.0,295.0,1.0,1.0
2019-10-01 12:05:00+02:00,-493.0,1223.0,1223.0,-0.40310711365494684,1.0
2019-10-01 12:06:00+02:00,-497.0,1713.0,1713.0,-0.29013426736719206,1.0
2019-10-01 12:07:00+02:00,70.0,70.0,70.0,1.0,1.0
2019-10-01 12:08:00+02:00,547.0,547.0,547.0,1.0,1.0
2019-10-01 12:09:00+02:00,-469.0,469.0,469.0,-1.0,1.0
2019-10-01 12:10:00+02:00,-237.0,463.0,463.0,-0.5118790496760259,1.0
