trade_time_paris,MiFIDPrice,MiFIDQuantity,q_UncrossingTrade,q_FirstTradePrice,q_PassiveBuyOrder,q_AggressiveBuyOrder,sign,signed_qty,TradeType,MMTMarketMechanism,MMTTradingMode,Venue
2019-10-01 09:00:18.178966+02:00,85.25,400.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,5.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,472.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,30.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,2.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,11.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,7.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,400.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,20.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,20.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,172.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,136.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,852.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,51.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,115.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,42.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,17.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,90.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,27.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,80.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,327.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,20.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,114.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,86.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,90.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,72.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,20.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,20.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,84.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.189566+02:00,85.3,442.0,0,0,0,1,1,442.0,1,1,2,XPAR
2019-10-01 09:00:18.189566+02:00,85.29,46.0,0,0,0,1,1,46.0,1,1,2,XPAR
2019-10-01 09:00:18.189566+02:00,85.3,12.0,0,0,0,1,1,12.0,1,1,2,XPAR
2019-10-01 09:00:18.599244+02:00,85.25,239.0,0,0,0,1,1,239.0,1,1,2,XPAR
2019-10-01 09:00:18.599831+02:00,85.3,12.0,0,0,0,1,1,12.0,1,1,2,XPAR
2019-10-01 09:00:18.599831+02:00,85.3,7.0,0,0,0,1,1,7.0,1,1,2,XPAR
2019-10-01 09:00:18.599831+02:00,85.3,2.0,0,0,0,1,1,2.0,1,1,2,XPAR
2019-10-01 09:00:18.599831+02:00,85.3,93.0,0,0,0,1,1,93.0,1,1,2,XPAR
2019-10-01 09:00:18.599831+02:00,85.3,36.0,0,0,0,1,1,36.0,1,1,2,XPAR
2019-10-01 09:00:18.674750+02:00,85.3,131.0,0,0,0,1,1,131.0,1,1,2,XPAR
2019-10-01 09:00:18.674979+02:00,85.34,41.0,0,0,0,1,1,41.0,1,1,2,XPAR
2019-10-01 09:00:18.686307+02:00,85.32,101.0,0,0,0,1,1,101.0,1,1,2,XPAR
2019-10-01 09:00:18.697716+02:00,85.3,75.0,0,0,1,0,-1,-75.0,1,1,2,XPAR
2019-10-01 09:00:18.754287+02:00,85.3,56.0,0,0,1,0,-1,-56.0,1,1,2,XPAR
2019-10-01 09:00:18.824521+02:00,85.3,179.0,0,0,1,0,-1,-179.0,1,1,2,XPAR
2019-10-01 09:00:18.873733+02:00,85.29,150.0,0,0,0,1,1,150.0,1,1,2,XPAR
2019-10-01 09:00:18.873733+02:00,85.3,36.0,0,0,0,1,1,36.0,1,1,2,XPAR
2019-10-01 09:00:18.875604+02:00,85.3,143.0,0,0,0,1,1,143.0,1,1,2,XPAR
2019-10-01 09:00:18.875604+02:00,85.3,179.0,0,0,0,1,1,179.0,1,1,2,XPAR
2019-10-01 09:00:18.875785+02:00,85.32,150.0,0,0,0,1,1,150.0,1,1,2,XPAR
2019-10-01 09:00:19.326374+02:00,85.32,150.0,0,0,0,1,1,150.0,1,1,2,XPAR
2019-10-01 09:00:19.327101+02:00,85.33,3.0,0,0,0,1,1,3.0,1,1,2,XPAR
2019-10-01 09:00:19.327101+02:00,85.34,150.0,0,0,0,1,1,150.0,1,1,2,XPAR
2019-10-01 09:00:19.327157+02:00,85.35,121.0,0,0,0,1,1,121.0,1,1,2,XPAR
2019-10-01 09:00:19.973249+02:00,85.33,110.0,0,0,1,0,-1,-110.0,1,1,2,XPAR
2019-10-01 09:00:19.973330+02:00,85.33,140.0,0,0,1,0,-1,-140.0,1,1,2,XPAR
2019-10-01 09:00:19.973330+02:00,85.33,24.0,0,0,1,0,-1,-24.0,1,1,2,XPAR
2019-10-01 09:00:19.974003+02:00,85.32,653.0,0,0,1,0,-1,-653.0,1,1,2,XPAR
2019-10-01 09:00:19.974129+02:00,85.32,47.0,0,0,1,0,-1,-47.0,1,1,2,XPAR
2019-10-01 09:00:19.974129+02:00,85.32,36.0,0,0,1,0,-1,-36.0,1,1,2,XPAR
2019-10-01 09:00:20.019658+02:00,85.31,159.0,0,0,1,0,-1,-159.0,1,1,2,XPAR
2019-10-01 09:00:20.155513+02:00,85.31,13.0,0,0,0,1,1,13.0,1,1,2,XPAR
2019-10-01 09:00:21.804491+02:00,85.3,150.0,0,0,1,0,-1,-150.0,1,1,2,XPAR
2019-10-01 09:00:24.387550+02:00,85.29,67.0,0,0,1,0,-1,-67.0,1,1,2,XPAR
2019-10-01 09:00:24.387550+02:00,85.29,137.0,0,0,1,0,-1,-137.0,1,1,2,XPAR
2019-10-01 09:00:24.387550+02:00,85.29,140.0,0,0,1,0,-1,-140.0,1,1,2,XPAR
2019-10-01 09:00:24.388301+02:00,85.28,153.0,0,0,1,0,-1,-153.0,1,1,2,XPAR
2019-10-01 09:00:24.388345+02:00,85.27,153.0,0,0,1,0,-1,-153.0,1,1,2,XPAR
2019-10-01 09:00:24.389767+02:00,85.26,37.0,0,0,1,0,-1,-37.0,1,1,2,XPAR
2019-10-01 09:00:24.403873+02:00,85.27,53.0,0,0,1,0,-1,-53.0,1,1,2,XPAR
2019-10-01 09:00:24.404212+02:00,85.21,50.0,0,0,1,0,-1,-50.0,1,1,2,XPAR
2019-10-01 09:00:24.726594+02:00,85.27,55.0,0,0,0,1,1,55.0,1,1,2,XPAR
