8,StandingData,0,1110222,1,13,TEAM,TEAM,FR0000033466,32,FR0000033466,ESVUFR,20190923,0,0,15000,0,20190830,0000100006,00001,,1,,FRA,336,1,,,XMLI,XMLI,FRA,MLTEA,,,EUR,,0,0,1000000,4,UNT,1,X,,3,00,D,0,,EUR,0,,,,,,[2,{1,1015,20,1,1,1},{5,,,,1,1}]
8,StandingData,0,1110224,1,11,JACQUET METAL SCE,JACQUET METAL SCE,FR0000033904,17,FR0000033904,ESVUFN,20190701,0,1,200000,0,20190930,0000100006,00001,,1,,FRA,15.5,1,,,XPAR,XPAR,FRA,JCQ,,,EUR,,0,0,24028438,0,UNT,1,X,,3,00,I,2,,,1,,,,450000,750000,1000000,{1,60,22,1,1,1},{5,,,,1,1}]
8,StandingData,0,1110225,1,12,UNION FIN.FRANCE BANQUE,UNION FIN.FRANCE,FR0000034548,16,FR0000034548,ESVUFN,20190524,0,1,60000,0,20190930,0000100006,00001,,1,,FRA,20.2,1,,,XPAR,XPAR,FRA,UFF,,,EUR,,0,0,16233240,0,UNT,1,X,,3,00,I,0,,,0,,,,30000,80000,120000,{1,60,21,1,1,1},{5,,,,1,1}]
8,StandingData,0,1110229,1,10,ICADE,ICADE,FR0000035081,11,FR0000035081,ESVUFN,20190701,0,1,300000,0,20190930,0000100006,00001,,1,,FRA,82.05,1,,,XPAR,XPAR,FRA,ICAD,,,EUR,,0,0,74535741,0,UNT,1,X,,0,00,H,1,,,1,,,,2500000,4000000,5000000,{1,60,23,1,1,1},{5,,,,1,1}]
9,StandingData,0,1110226,1,13,ALTRAN TECHN.,ALTRAN TECHN.,FR0000034639,16,FR0000034639,ESVUFN,20191001,0,1,400000,0,20190930,0000100006,00001,,1,,FRA,14.41,1,,,XPAR,XPAR,FRA,ALT,,,EUR,,0,0,257021105,0.5,UNT,1,X,,3,17,H,0,,EUR,1,,,,5000000,10000000,12000000,{1,60,24,1,1,1},{5,,,,1,1}]
9,StandingData,0,1110230,1,11,FINATIS,FINATIS,FR0000035123,13,FR0000035123,ESVUFN,20190705,0,0,15000,0,20190927,0000100006,00001,,1,,FRA,29.6,1,,,XPAR,XPAR,FRA,FNTS,,,EUR,,0,0,5656860,15,UNT,1,X,,3,00,I,0,,EUR,0,,,,,,[2,{1,1015,20,1,1,1},{5,,,,1,1}]
9,StandingData,0,1110231,1,12,BENETEAU,BENETEAU,FR0000035164,11,FR0000035164,ESVUFN,20190212,0,1,300000,0,20190930,0000100006,00001,,1,,FRA,9.65,1,,,XPAR,XPAR,FRA,BEN,,,EUR,,0,0,82789840,0.1,UNT,1,X,,3,00,H,1,,EUR,1,,,,2500000,4000000,5000000,{1,60,23,1,1,1},{5,,,,1,1}]
9,StandingData,0,1110233,1,10,BASTIDE LE CONFORT,BASTIDE LE CONFORT,FR0000035370,16,FR0000035370,ESVUFN,20190103,0,1,60000,0,20190930,0000100006,00001,,1,,FRA,38.75,1,,,XPAR,XPAR,FRA,BLC,,,EUR,,0,0,7344828,0.45,UNT,1,X,,3,00,I,2,,EUR,0,,,,30000,80000,120000,{1,60,22,1,1,1},{5,,,,1,1}]
10,StandingData,0,1110232,1,13,LAFUMA,LAFUMA,FR0000035263,13,FR0000035263,ESVUFN,20180126,0,0,15000,0,20190930,0000100006,00001,,1,,FRA,19.9,1,,,XPAR,XPAR,FRA,LAF,,,EUR,,0,0,7110669,8,UNT,1,X,,3,00,I,0,,EUR,0,,,,,,[2,{1,1015,20,1,1,1},{5,,,,1,1}]
10,StandingData,0,1110234,1,11,ELECT. MADAGASCAR,ELECT. MADAGASCAR,FR0000035719,13,FR0000035719,ESVUFN,20190226,0,0,15000,0,20190930,0000100006,00001,,1,,FRA,3.1,1,,,XPAR,XPAR,FRA,EEM,,,EUR,,0,0,5693999,2.5,UNT,1,X,,3,00,J,0,,EUR,0,,,,,,[2,{1,1015,20,1,1,1},{5,,,,1,1}]
10,StandingData,0,1110235,1,12,ROUSSELET CENTRIFUGATION,ROUSSELET CENTRIF.,FR0000035750,10,FR0000035750,ESVUFR,20190710,0,0,15000,0,20190925,0000100006,00001,,1,,FRA,23.8,1,,,XMLI,XMLI,FRA,MLROU,,,EUR,,0,0,610000,0,UNT,1,X,,3,00,D,0,,,0,,,,,,[2,{1,1015,20,1,1,1},{5,,,,1,1}]
10,StandingData,0,1110237,1,10,ESKER,ESKER,FR0000035818,E2,FR0000035818,ESVUFN,20190624,0,1,60000,0,20190930,0000100006,00001,,1,,FRA,80,1,,,ALXP,ALXP,FRA,ALESK,,,EUR,,0,0,5657865,2,UNT,1,X,,3,00,E,0,,EUR,0,,,,30000,80000,120000,{1,60,22,1,1,1},{5,,,,1,1}]
11,StandingData,0,1110236,1,13,DIGIGRAM,DIGIGRAM,FR0000035784,13,FR0000035784,ESVUFN,20190221,0,0,15000,0,20190924,0000100006,00001,,1,,FRA,0.75,1,,,XPAR,XPAR,FRA,DIG,,,EUR,,0,0,2100000,0.5,UNT,1,X,,3,00,J,0,,EUR,0,,,,,,[2,{1,1015,20,1,1,1},{5,,,,1,1}]
