time_paris,t_ns,side,side_label,delta,bid,ask,price,t_seconds,dup_rank,t_seconds_jitter,threshold_mode,threshold_value_input,threshold_actual,time_origin_paris,window_start_paris,window_end_paris,T_observation_seconds
2019-10-01 09:07:43.502128447+02:00,1569913663502128447,2,ask,4.909999999999997,85.13,85.15,90.06,445.311785942,0,445.311785942,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:07:55.746315885+02:00,1569913675746315885,2,ask,4.909999999999997,85.13,85.16,90.07,457.55597338,0,457.55597338,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:08:15.027193248+02:00,1569913695027193248,2,ask,4.859999999999999,85.19,85.23,90.09,476.836850743,0,476.836850743,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:08:21.584271793+02:00,1569913701584271793,2,ask,4.899999999999992,85.16,85.18,90.08,483.393929288,0,483.393929288,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:08:31.256115773+02:00,1569913711256115773,2,ask,4.879999999999996,85.21,85.22,90.1,493.065773268,0,493.065773268,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:08:40.295196335+02:00,1569913720295196335,2,ask,4.8700000000000045,85.2,85.22,90.09,502.10485383,0,502.10485383,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:09:41.985342756+02:00,1569913781985342756,2,ask,4.88000000000001,85.12,85.13,90.01,563.795000251,0,563.795000251,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:10:02.130645855+02:00,1569913802130645855,2,ask,4.849999999999994,85.1,85.12,89.97,583.94030335,0,583.94030335,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:10:09.015490168+02:00,1569913809015490168,2,ask,4.839999999999989,85.1,85.12,89.96,590.825147663,0,590.825147663,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:10:13.044920636+02:00,1569913813044920636,2,ask,4.840000000000003,85.09,85.11,89.95,594.854578131,0,594.854578131,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:10:34.946760999+02:00,1569913834946760999,2,ask,4.840000000000003,85.1,85.11,89.95,616.756418494,0,616.756418494,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:10:49.318441290+02:00,1569913849318441290,2,ask,4.840000000000003,85.11,85.13,89.97,631.128098785,0,631.128098785,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:11:37.947579788+02:00,1569913897947579788,2,ask,4.839999999999989,85.15,85.18,90.02,679.757237283,0,679.757237283,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:11:46.098379198+02:00,1569913906098379198,2,ask,4.840000000000003,85.15,85.17,90.01,687.908036693,0,687.908036693,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:11:49.905099238+02:00,1569913909905099238,2,ask,4.839999999999989,85.11,85.15,89.99,691.714756733,0,691.714756733,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:12:00.975574710+02:00,1569913920975574710,2,ask,4.800000000000011,85.07,85.1,89.9,702.785232205,0,702.785232205,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:12:03.609760774+02:00,1569913923609760774,2,ask,4.820000000000007,85.04,85.07,89.89,705.419418269,0,705.419418269,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:12:09.668682561+02:00,1569913929668682561,2,ask,4.799999999999997,85.06,85.08,89.88,711.478340056,0,711.478340056,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:12:16.118503512+02:00,1569913936118503512,2,ask,4.800000000000011,85.07,85.1,89.9,717.928161007,0,717.928161007,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:12:31.440943191+02:00,1569913951440943191,2,ask,4.810000000000002,85.09,85.11,89.92,733.250600686,0,733.250600686,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
