trade_time_paris,t_seconds,t_seconds_jitter,MiFIDPrice,MiFIDQuantity,Venue
2019-10-01 09:06:04.023936+02:00,345.83437,345.83437,85.26,50.0,XPAR
2019-10-01 09:06:04.023936+02:00,345.83437,345.834371,85.26,150.0,XPAR
2019-10-01 09:06:04.024097+02:00,345.834531,345.834531,85.26,37.0,XPAR
2019-10-01 09:06:04.024097+02:00,345.834531,345.834532,85.26,44.0,XPAR
2019-10-01 09:06:04.150905+02:00,345.961339,345.961339,85.25,150.0,XPAR
2019-10-01 09:06:04.150905+02:00,345.961339,345.96134,85.25,75.0,XPAR
2019-10-01 09:06:04.590231+02:00,346.400665,346.400665,85.25,53.0,XPAR
2019-10-01 09:06:11.945811+02:00,353.756245,353.756245,85.28,6.0,XPAR
2019-10-01 09:06:15.230946+02:00,357.04138,357.04138,85.28,12.0,XPAR
2019-10-01 09:06:15.230946+02:00,357.04138,357.041381,85.28,8.0,XPAR
2019-10-01 09:06:15.230946+02:00,357.04138,357.041382,85.27,130.0,XPAR
2019-10-01 09:06:15.326986+02:00,357.13742,357.13742,85.28,21.0,XPAR
2019-10-01 09:06:15.327078+02:00,357.137512,357.137512,85.26,48.0,XPAR
2019-10-01 09:06:22.526947+02:00,364.337381,364.337381,85.26,150.0,XPAR
2019-10-01 09:06:26.406857+02:00,368.217291,368.217291,85.25,97.0,XPAR
2019-10-01 09:06:26.406857+02:00,368.217291,368.217292,85.25,52.0,XPAR
2019-10-01 09:06:35.000207+02:00,376.810641,376.810641,85.23,10.0,XPAR
2019-10-01 09:06:35.000207+02:00,376.810641,376.810642,85.23,4.0,XPAR
2019-10-01 09:06:35.000390+02:00,376.810824,376.810824,85.22,13.0,XPAR
2019-10-01 09:06:35.000390+02:00,376.810824,376.810825,85.2,150.0,XPAR
2019-10-01 09:06:35.000390+02:00,376.810824,376.810826,85.2,78.0,XPAR
2019-10-01 09:06:35.000390+02:00,376.810824,376.810827,85.2,174.0,XPAR
2019-10-01 09:06:35.000503+02:00,376.810937,376.810937,85.19,100.0,XPAR
2019-10-01 09:06:35.000503+02:00,376.810937,376.810938,85.19,78.0,XPAR
2019-10-01 09:06:55.427766+02:00,397.2382,397.2382,85.2,79.0,XPAR
2019-10-01 09:06:55.427766+02:00,397.2382,397.238201,85.2,68.0,XPAR
2019-10-01 09:07:00.390249+02:00,402.200683,402.200683,85.16,46.0,XPAR
2019-10-01 09:07:11.062371+02:00,412.872805,412.872805,85.15,150.0,XPAR
2019-10-01 09:07:16.034172+02:00,417.844606,417.844606,85.17,19.0,XPAR
2019-10-01 09:07:26.403248+02:00,428.213682,428.213682,85.18,120.0,XPAR
2019-10-01 09:07:26.415234+02:00,428.225668,428.225668,85.17,68.0,XPAR
2019-10-01 09:07:27.823936+02:00,429.63437,429.63437,85.2,20.0,XPAR
2019-10-01 09:07:33.900196+02:00,435.71063,435.71063,85.21,256.0,XPAR
2019-10-01 09:07:33.900278+02:00,435.710712,435.710712,85.21,51.0,XPAR
2019-10-01 09:07:33.901195+02:00,435.711629,435.711629,85.2,102.0,XPAR
2019-10-01 09:07:33.901936+02:00,435.71237,435.71237,85.19,150.0,XPAR
2019-10-01 09:07:33.901936+02:00,435.71237,435.712371,85.19,7.0,XPAR
2019-10-01 09:07:43.475572+02:00,445.286006,445.286006,85.15,50.0,XPAR
2019-10-01 09:07:43.476536+02:00,445.28697,445.28697,85.14,70.0,XPAR
2019-10-01 09:07:55.486236+02:00,457.29667,457.29667,85.15,150.0,XPAR
2019-10-01 09:07:55.489845+02:00,457.300279,457.300279,85.14,8.0,XPAR
2019-10-01 09:07:55.489845+02:00,457.300279,457.30028,85.14,150.0,XPAR
2019-10-01 09:07:58.166935+02:00,459.977369,459.977369,85.14,8.0,XPAR
2019-10-01 09:08:00.067996+02:00,461.87843,461.87843,85.15,150.0,XPAR
2019-10-01 09:08:09.263225+02:00,471.073659,471.073659,85.19,233.0,XPAR
2019-10-01 09:08:15.001445+02:00,476.811879,476.811879,85.22,53.0,XPAR
2019-10-01 09:08:15.001445+02:00,476.811879,476.81188,85.22,17.0,XPAR
2019-10-01 09:08:21.566666+02:00,483.3771,483.3771,85.19,234.0,XPAR
2019-10-01 09:08:21.566722+02:00,483.377156,483.377156,85.19,220.0,XPAR
2019-10-01 09:08:21.566722+02:00,483.377156,483.377157,85.19,61.0,XPAR
2019-10-01 09:08:21.566722+02:00,483.377156,483.377158,85.19,100.0,XPAR
2019-10-01 09:08:21.569913+02:00,483.380347,483.380347,85.17,142.0,XPAR
2019-10-01 09:08:40.278204+02:00,502.088638,502.088638,85.21,120.0,XPAR
2019-10-01 09:08:48.433664+02:00,510.244098,510.244098,85.2,234.0,XPAR
2019-10-01 09:08:48.433774+02:00,510.244208,510.244208,85.2,6.0,XPAR
2019-10-01 09:08:48.434672+02:00,510.245106,510.245106,85.2,11.0,XPAR
2019-10-01 09:09:12.086447+02:00,533.896881,533.896881,85.2,120.0,XPAR
2019-10-01 09:09:13.087461+02:00,534.897895,534.897895,85.19,94.0,XPAR
2019-10-01 09:09:13.088583+02:00,534.899017,534.899017,85.18,100.0,XPAR
2019-10-01 09:09:16.481051+02:00,538.291485,538.291485,85.18,150.0,XPAR
2019-10-01 09:09:18.000227+02:00,539.810661,539.810661,85.17,55.0,XPAR
2019-10-01 09:09:18.000290+02:00,539.810724,539.810724,85.17,207.0,XPAR
2019-10-01 09:09:18.001416+02:00,539.81185,539.81185,85.16,104.0,XPAR
2019-10-01 09:09:18.001453+02:00,539.811887,539.811887,85.16,72.0,XPAR
2019-10-01 09:09:19.352811+02:00,541.163245,541.163245,85.18,128.0,XPAR
2019-10-01 09:09:29.000794+02:00,550.811228,550.811228,85.16,27.0,XPAR
2019-10-01 09:09:29.000794+02:00,550.811228,550.811229,85.16,49.0,XPAR
2019-10-01 09:09:29.000860+02:00,550.811294,550.811294,85.16,210.0,XPAR
2019-10-01 09:09:29.001179+02:00,550.811613,550.811613,85.16,6.0,XPAR
2019-10-01 09:09:29.227358+02:00,551.037792,551.037792,85.17,65.0,XPAR
2019-10-01 09:09:29.227438+02:00,551.037872,551.037872,85.17,85.0,XPAR
2019-10-01 09:09:34.996570+02:00,556.807004,556.807004,85.16,89.0,XPAR
2019-10-01 09:09:34.996570+02:00,556.807004,556.807005,85.16,96.0,XPAR
2019-10-01 09:09:35.008418+02:00,556.818852,556.818852,85.15,444.0,XPAR
2019-10-01 09:09:35.103990+02:00,556.914424,556.914424,85.17,34.0,XPAR
2019-10-01 09:09:35.264425+02:00,557.074859,557.074859,85.17,150.0,XPAR
2019-10-01 09:09:39.826175+02:00,561.636609,561.636609,85.16,45.0,XPAR
2019-10-01 09:09:40.963367+02:00,562.773801,562.773801,85.13,45.0,XPAR
2019-10-01 09:10:02.111515+02:00,583.921949,583.921949,85.12,12.0,XPAR
2019-10-01 09:10:02.112789+02:00,583.923223,583.923223,85.11,40.0,XPAR
2019-10-01 09:10:03.309725+02:00,585.120159,585.120159,85.12,128.0,XPAR
2019-10-01 09:10:03.309834+02:00,585.120268,585.120268,85.12,22.0,XPAR
2019-10-01 09:10:03.309834+02:00,585.120268,585.120269,85.12,18.0,XPAR
2019-10-01 09:10:09.000244+02:00,590.810678,590.810678,85.11,49.0,XPAR
2019-10-01 09:10:12.930576+02:00,594.74101,594.74101,85.1,11.0,XPAR
2019-10-01 09:10:23.180107+02:00,604.990541,604.990541,85.1,150.0,XPAR
2019-10-01 09:10:23.180107+02:00,604.990541,604.990542,85.1,109.0,XPAR
2019-10-01 09:10:46.916418+02:00,628.726852,628.726852,85.08,62.0,XPAR
2019-10-01 09:10:46.916418+02:00,628.726852,628.726853,85.08,41.0,XPAR
2019-10-01 09:10:46.923834+02:00,628.734268,628.734268,85.09,150.0,XPAR
2019-10-01 09:10:46.925002+02:00,628.735436,628.735436,85.09,150.0,XPAR
2019-10-01 09:11:02.417673+02:00,644.228107,644.228107,85.1,100.0,XPAR
2019-10-01 09:11:02.417673+02:00,644.228107,644.228108,85.1,35.0,XPAR
2019-10-01 09:11:02.420175+02:00,644.230609,644.230609,85.09,72.0,XPAR
2019-10-01 09:11:02.425248+02:00,644.235682,644.235682,85.09,53.0,XPAR
2019-10-01 09:11:46.133104+02:00,687.943538,687.943538,85.15,3.0,XPAR
2019-10-01 09:11:46.133211+02:00,687.943645,687.943645,85.14,108.0,XPAR
2019-10-01 09:11:57.995373+02:00,699.805807,699.805807,85.11,150.0,XPAR
2019-10-01 09:12:00.957141+02:00,702.767575,702.767575,85.09,23.0,XPAR
2019-10-01 09:12:03.592707+02:00,705.403141,705.403141,85.06,17.0,XPAR
2019-10-01 09:12:03.592707+02:00,705.403141,705.403142,85.06,25.0,XPAR
2019-10-01 09:12:03.592707+02:00,705.403141,705.403143,85.06,85.0,XPAR
2019-10-01 09:12:16.110621+02:00,717.921055,717.921055,85.09,150.0,XPAR
2019-10-01 09:12:40.970573+02:00,742.781007,742.781007,85.09,35.0,XPAR
2019-10-01 09:12:40.971506+02:00,742.78194,742.78194,85.08,80.0,XPAR
2019-10-01 09:12:40.971506+02:00,742.78194,742.781941,85.08,100.0,XPAR
2019-10-01 09:12:40.971506+02:00,742.78194,742.781942,85.08,216.0,XPAR
2019-10-01 09:12:40.974165+02:00,742.784599,742.784599,85.08,140.0,XPAR
2019-10-01 09:12:40.984194+02:00,742.794628,742.794628,85.07,150.0,XPAR
2019-10-01 09:12:40.992419+02:00,742.802853,742.802853,85.07,163.0,XPAR
2019-10-01 09:12:40.997336+02:00,742.80777,742.80777,85.07,41.0,XPAR
